GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bitsmagic,br.eti.rslemos.bitsmagic.stream,ByteArrayIntStream,10,22,0,0,2,4,1,3,1,3
bitsmagic,br.eti.rslemos.bitsmagic.stream,ShortArrayIntStream,10,22,0,0,2,4,1,3,1,3
bitsmagic,br.eti.rslemos.bitsmagic.stream,ShortArrayIntStream.Input,6,11,0,0,1,2,1,2,1,2
bitsmagic,br.eti.rslemos.bitsmagic.stream,ByteArrayIntStream.Input,6,11,0,0,1,2,1,2,1,2
bitsmagic,br.eti.rslemos.bitsmagic.stream,CharArrayIntStream.Input,6,11,0,0,1,2,1,2,1,2
bitsmagic,br.eti.rslemos.bitsmagic.stream,CharArrayIntStream,10,22,0,0,2,4,1,3,1,3
bitsmagic,br.eti.rslemos.bitsmagic.stream,CharArrayIntStream.Output,6,12,0,0,1,2,1,2,1,2
bitsmagic,br.eti.rslemos.bitsmagic.stream,LongArrayIntStream.Input,6,11,0,0,1,2,1,2,1,2
bitsmagic,br.eti.rslemos.bitsmagic.stream,AbstractArrayIntStream,20,148,0,12,0,30,0,9,0,3
bitsmagic,br.eti.rslemos.bitsmagic.stream,IntArrayIntStream.Input,6,11,0,0,1,2,1,2,1,2
bitsmagic,br.eti.rslemos.bitsmagic.stream,IntArrayIntStream,10,22,0,0,2,4,1,3,1,3
bitsmagic,br.eti.rslemos.bitsmagic.stream,ByteArrayIntStream.Output,6,12,0,0,1,2,1,2,1,2
bitsmagic,br.eti.rslemos.bitsmagic.stream,LongArrayIntStream.Output,6,12,0,0,1,2,1,2,1,2
bitsmagic,br.eti.rslemos.bitsmagic.stream,LongArrayIntStream,10,22,0,0,2,4,1,3,1,3
bitsmagic,br.eti.rslemos.bitsmagic.stream,IntArrayIntStream.Output,6,12,0,0,1,2,1,2,1,2
bitsmagic,br.eti.rslemos.bitsmagic.stream,ShortArrayIntStream.Output,6,12,0,0,1,2,1,2,1,2
bitsmagic,br.eti.rslemos.bitsmagic.arithmetic,Base2ArithmeticCodec,0,41,0,0,0,9,0,3,0,3
bitsmagic,br.eti.rslemos.bitsmagic.arithmetic,AnyBaseArithmeticCodec,36,186,2,12,3,32,3,11,1,6
bitsmagic,br.eti.rslemos.bitsmagic.arithmetic,Base2ArithmeticCodec.Encoder,15,70,1,5,2,16,2,7,1,5
bitsmagic,br.eti.rslemos.bitsmagic.arithmetic,DelayedZeroIntOutputStream,5,53,1,9,1,14,1,8,0,4
bitsmagic,br.eti.rslemos.bitsmagic.arithmetic,IntegralPowerOf2BaseArithmeticCodec.Encoder,15,96,1,7,2,20,2,8,1,5
bitsmagic,br.eti.rslemos.bitsmagic.arithmetic,NonIntegralPowerOf2BaseArithmeticCodec.Encoder,15,97,1,7,2,20,2,8,1,5
bitsmagic,br.eti.rslemos.bitsmagic.arithmetic,NonIntegralPowerOf2BaseArithmeticCodec,0,40,0,0,0,8,0,3,0,3
bitsmagic,br.eti.rslemos.bitsmagic.arithmetic,IntegralPowerOf2BaseArithmeticCodec,0,60,0,0,0,11,0,3,0,3
bitsmagic,br.eti.rslemos.bitsmagic.arithmetic,TrailingZeroIntInputStream,0,13,0,0,0,6,0,2,0,2
bitsmagic,br.eti.rslemos.bitsmagic.arithmetic,Base2ArithmeticCodec.Decoder,17,97,0,2,1,20,1,6,1,5
bitsmagic,br.eti.rslemos.bitsmagic.arithmetic,IntegralPowerOf2BaseArithmeticCodec.Decoder,20,101,0,2,1,20,1,6,1,5
bitsmagic,br.eti.rslemos.bitsmagic.arithmetic,NonIntegralPowerOf2BaseArithmeticCodec.Decoder,18,98,0,2,1,20,1,6,1,5
bitsmagic,br.eti.rslemos.bitsmagic,Ones,38,865,10,60,11,121,11,35,1,10
bitsmagic,br.eti.rslemos.bitsmagic,Xor,3,6174,0,350,1,660,1,225,1,50
bitsmagic,br.eti.rslemos.bitsmagic,GrayCode,43,1212,10,60,11,168,11,45,1,20
bitsmagic,br.eti.rslemos.bitsmagic,Store,13,6374,1,741,2,1123,2,486,1,116
bitsmagic,br.eti.rslemos.bitsmagic,Copy,12,9759,4,396,3,1065,5,258,1,62
bitsmagic,br.eti.rslemos.bitsmagic,IntRef,14,11,0,0,2,2,2,2,2,2
bitsmagic,br.eti.rslemos.bitsmagic,Shifter,25,169,6,18,7,40,7,12,1,6
